site	id	x	y	dbh	height	species	crown_area
46	37	30.764	-3.084	377	16.772	Pinus_sylvestris	18.7957465
46	38	21.926	29.154	123	11.054	Picea_abies	1.886595
46	39	26.475	27.591	351	22.081	Pinus_sylvestris	8.5543
47	1	0.325	6.442	260	16.413	Pinus_sylvestris	8.3549725
47	2	2.046	6.681	215	17.504	Pinus_sylvestris	3.951846
47	3	1.705	7.488	159	10.185	Picea_abies	4.53469
47	4	3.427	5.67	231	16.755	Pinus_sylvestris	2.941555
47	5	4.914	5.396	196	15.855	Pinus_sylvestris	6.406156
47	6	4.345	8.206	190	16.624	Pinus_sylvestris	4.1768295
47	7	2.448	8.686	189	16.576	Betula_pubescens	8.844532
47	8	-1.074	8.944	296	16.917	Pinus_sylvestris	10.4563855
47	9	1.376	15.238	200	8.386	Pinus_sylvestris	6.0892355
47	10	2.588	15.189	235	15.598	Betula_pubescens	9.897303
47	11	1.673	16.218	169	14.255	Picea_abies	7.1346855
47	12	0.071	20.348	277	17.465	Pinus_sylvestris	17.6431695
47	13	5.011	9.894	142	11.591	Picea_abies	2.76953
47	14	7.576	10.043	100	7.159	Picea_abies	1.783227
47	15	8.28	8.88	183	14.957	Pinus_sylvestris	4.249062
47	16	10.16	13.212	393	19.51	Pinus_sylvestris	23.6169985
47	17	10.486	16.08	414	24.828	Pinus_sylvestris	23.1707765
47	18	8.956	17.248	149	10.634	Picea_abies	1.815937
47	19	9.779	17.876	331	20.239	Pinus_sylvestris	11.0437155
47	20	13.666	16.063	320	20.259	Pinus_sylvestris	12.0549855
47	21	16.245	22.171	431	19.076	Pinus_sylvestris	31.935029
47	22	18.783	20.462	231	14.074	Betula_pubescens	14.741275
47	23	22.776	20.652	429	21.092	Pinus_sylvestris	17.5775265
47	24	23.773	16.059	318	19.143	Picea_abies	7.99841
47	25	19.831	8.113	313	20.757	Pinus_sylvestris	14.045037
47	26	14.459	5.757	165	13.837	Pinus_sylvestris	4.913287
47	27	13.51	6.988	600	21.674	Pinus_sylvestris	22.3731975
47	28	11.532	2.556	443	17.313	Pinus_sylvestris	29.467856
47	29	10.003	0.747	322	17.559	Pinus_sylvestris	9.370821
47	30	4.897	0.725	240	18.04	Picea_abies	2.554445
47	31	22.218	2.554	220	13.812	Pinus_sylvestris	8.9802895
47	32	29.877	5.317	364	21.134	Picea_abies	6.415147
47	33	31.256	2.074	452	22.263	Pinus_sylvestris	25.546666
47	34	32.908	11.866	389	17.766	Pinus_sylvestris	17.1224685
47	35	31.334	13.187	212	15.557	Pinus_sylvestris	6.8165885
47	36	26.255	18.104	441	15.529	Pinus_sylvestris	22.17773
47	37	17.858	23.779	299	16.286	Picea_abies	11.646164
47	38	19.522	28.052	339	20.089	Picea_abies	9.6926185
47	39	11.397	26.56	185	11.73	Betula_pubescens	8.2560625
47	40	10.483	19.589	197	11.698	Picea_abies	6.0772395
47	41	3.597	20.772	150	9.454	Picea_abies	2.1157105
47	42	7.817	31.892	272	18.857	Picea_abies	2.0572945
47	43	16.87	31.847	132	9.319	Betula_pubescens	5.66505
47	44	18.603	31.782	490	20.865	Pinus_sylvestris	23.3133765
47	45	27.539	31.699	110	8.052	Picea_abies	2.142674
47	46	31.845	29.046	162	11.261	Picea_abies	3.5847795
47	47	31.055	29.895	155	14.139	Picea_abies	5.712561
48	1	7.387	6.325	270	14.803	Picea_abies	8.322335
48	2	7.833	12.545	319	19.325	Picea_abies	13.687477
48	3	8.861	0.325	114	7.074	Picea_abies	8.8672735
48	4	13.098	2.385	267	14.401	Picea_abies	6.7922245
48	5	12.992	2.584	154	11.263	Picea_abies	5.6235955
48	6	20.872	9.578	370	16.772	Picea_abies	19.954602
48	7	23.106	9.727	441	18.408	Picea_abies	9.2464555
48	8	20.118	10.928	108	4.949	Betula_pubescens	3.5217775
48	9	4.392	17.381	335	16.067	Picea_abies	8.8765825
48	10	2.114	16.167	189	10.151	Picea_abies	3.946009
48	11	1.621	16.627	111	9.15	Picea_abies	2.0290065
48	12	2.486	16.916	175	10.764	Picea_abies	2.37475
48	13	7.834	20.166	308	18.927	Picea_abies	4.857674
48	14	9.378	21.114	286	14.742	Picea_abies	11.825917
48	15	1.887	-0.775	160	11.612	Betula_pubescens	9.04005
48	16	18.409	25.4	176	10.17	Betula_pubescens	6.0695605
48	17	19.718	21.732	429	20.317	Picea_abies	12.5650635
48	18	19.429	20.783	215	15.636	Picea_abies	3.488374
48	19	19.962	19.284	240	15.677	Picea_abies	10.0032785
48	20	19.981	18.992	245	15.038	Picea_abies	9.5749005
48	21	17.386	14.916	276	15.225	Picea_abies	8.5705045
48	22	11.616	9.993	118	7.997	Betula_pubescens	2.5719355
48	23	16.683	4.1	136	9.264	Betula_pubescens	4.992263
48	24	16.909	3.494	148	8.413	Betula_pubescens	3.84649
48	25	18.906	4.459	129	5.998	Betula_pubescens	1.485722
48	26	5.694	31.768	298	15.721	Picea_abies	8.409959
48	27	7.428	29.345	530	19.347	Picea_abies	30.6776925
48	28	6.496	26.901	109	4.747	Betula_pubescens	2.118488
48	29	23.315	29.886	233	12.604	Betula_pubescens	15.1869265
48	30	23.173	32.156	116	9.233	Betula_pubescens	8.287377
48	31	26.601	25.112	125	8.125	Picea_abies	5.716392
48	32	27.559	20.064	147	9.846	Betula_pubescens	14.7656365
48	33	27.957	19.698	118	9.158	Betula_pubescens	4.781195
48	34	29.832	15.179	116	8.672	Betula_pubescens	6.725127
48	35	30.209	14.989	236	11.057	Betula_pubescens	10.121791
48	36	28.49	13.572	128	8.587	Betula_pubescens	5.5089195
48	37	25.085	15.273	203	12.666	Betula_pubescens	12.632634
48	38	25.202	17.051	139	11.688	Betula_pubescens	3.270955
48	39	26.851	10.174	133	10.395	Betula_pubescens	6.752834
48	40	28.524	3.993	112	6.48	Betula_pubescens	5.252704
48	41	28.121	4.387	130	8.298	Betula_pubescens	5.839169
48	42	26.869	2.138	111	8.121	Betula_pubescens	3.008512
48	43	26.696	5.716	152	8.557	Betula_pubescens	5.396388
48	44	26.758	6.126	118	8.747	Betula_pubescens	6.153272
48	45	27.801	9.806	126	11.882	Betula_pubescens	7.9828595
